,ID_Venta,Fecha,ID_Cliente,ID_Producto,Cantidad,Método_Pago,Estado,Semana,Mes,Dia_Semana,Trimestre,Nombre_producto,Categoría,Precio_Unitario,Stock,Venta_Total
64,2770,2024-02-08,295,34,4,2,Completa,6,2,Thursday,1,Maníes,Galletitas y Snacks,5.45,4769,21.8
65,226,2024-02-09,3,11,4,1,Completa,6,2,Friday,1,Salchicha,Carnicería,11.23,1726,44.92
66,1044,2024-02-09,69,29,1,5,Completa,6,2,Friday,1,Cerveza,Bebidas,11.54,2455,11.54
67,1162,2024-02-09,104,17,2,3,Completa,6,2,Friday,1,Manzanas,Frutas y Verduras,6.54,3383,13.08
68,1725,2024-02-09,293,25,6,4,Completa,6,2,Friday,1,Pizza congelada,Congelados,15.45,1640,92.69999999999999
69,1878,2024-02-09,214,17,3,4,Completa,6,2,Friday,1,Manzanas,Frutas y Verduras,6.54,3383,19.62
70,2480,2024-02-09,278,22,1,1,Completa,6,2,Friday,1,Cebolla,Frutas y Verduras,4.21,3545,4.21
71,2610,2024-02-09,78,1,6,4,Completa,6,2,Friday,1,Leche,Lácteos,12.24,3327,73.44
72,2947,2024-02-09,28,6,5,4,Pendiente,6,2,Friday,1,Asado,Carnicería,28.56,5137,142.79999999999998
73,117,2024-02-10,288,10,3,2,Pendiente,6,2,Saturday,1,Costilla de cerdo,Carnicería,14.25,2429,42.75
74,1102,2024-02-10,59,29,4,3,Completa,6,2,Saturday,1,Cerveza,Bebidas,11.54,2455,46.16
75,1217,2024-02-10,144,22,2,4,Completa,6,2,Saturday,1,Cebolla,Frutas y Verduras,4.21,3545,8.42
76,1363,2024-02-10,314,28,3,3,Pendiente,6,2,Saturday,1,Jugos de frutas,Bebidas,9.45,3637,28.349999999999998
77,1600,2024-02-10,230,24,6,3,Completa,6,2,Saturday,1,Empanadas,Congelados,13.54,2908,81.24
78,2719,2024-02-10,57,16,1,4,Completa,6,2,Saturday,1,Tortas,Panadería,15.23,3189,15.23
79,621,2024-02-11,166,3,3,3,Completa,6,2,Sunday,1,Queso cremoso,Lácteos,17.23,3167,51.69
80,995,2024-02-11,224,13,5,5,Completa,6,2,Sunday,1,Pan integral,Panadería,12.56,2228,62.800000000000004
81,1218,2024-02-11,34,29,1,2,Completa,6,2,Sunday,1,Cerveza,Bebidas,11.54,2455,11.54
82,1362,2024-02-11,120,19,2,5,Pendiente,6,2,Sunday,1,Tomates,Frutas y Verduras,6.54,4041,13.08
83,1651,2024-02-11,85,13,6,4,Completa,6,2,Sunday,1,Pan integral,Panadería,12.56,2228,75.36
84,1680,2024-02-11,241,28,3,3,Completa,6,2,Sunday,1,Jugos de frutas,Bebidas,9.45,3637,28.349999999999998
85,1754,2024-02-11,212,27,3,5,Completa,6,2,Sunday,1,Agua mineral,Bebidas,6.21,4978,18.63
86,1934,2024-02-11,69,27,1,2,Completa,6,2,Sunday,1,Agua mineral,Bebidas,6.21,4978,6.21
87,2534,2024-02-11,250,11,1,5,Completa,6,2,Sunday,1,Salchicha,Carnicería,11.23,1726,11.23
88,2642,2024-02-11,54,37,5,4,Completa,6,2,Sunday,1,Garbanzos,Conservas,3.65,1506,18.25
89,2703,2024-02-11,255,29,3,1,Pendiente,6,2,Sunday,1,Cerveza,Bebidas,11.54,2455,34.62
90,2874,2024-02-11,87,19,4,5,Completa,6,2,Sunday,1,Tomates,Frutas y Verduras,6.54,4041,26.16
91,2933,2024-02-11,307,37,4,5,Completa,6,2,Sunday,1,Garbanzos,Conservas,3.65,1506,14.6
92,29,2024-02-12,205,38,2,3,Completa,7,2,Monday,1,Atún enlatado,Conservas,6.21,2182,12.42
93,237,2024-02-12,182,21,4,1,Completa,7,2,Monday,1,Zanahorias,Frutas y Verduras,3.25,2800,13.0
94,488,2024-02-12,47,14,2,5,Completa,7,2,Monday,1,Facturas,Panadería,12.36,3125,24.72
95,1168,2024-02-12,286,4,4,5,Completa,7,2,Monday,1,Queso rallado,Lácteos,19.23,2099,76.92
96,1540,2024-02-12,273,14,6,3,Completa,7,2,Monday,1,Facturas,Panadería,12.36,3125,74.16
97,2007,2024-02-12,288,14,2,4,Completa,7,2,Monday,1,Facturas,Panadería,12.36,3125,24.72
98,2236,2024-02-12,295,18,4,5,Completa,7,2,Monday,1,Bananas,Frutas y Verduras,7.25,4720,29.0
99,8,2024-02-13,214,38,4,4,Completa,7,2,Tuesday,1,Atún enlatado,Conservas,6.21,2182,24.84
100,14,2024-02-13,171,22,4,3,Completa,7,2,Tuesday,1,Cebolla,Frutas y Verduras,4.21,3545,16.84
101,459,2024-02-13,128,24,4,3,Completa,7,2,Tuesday,1,Empanadas,Congelados,13.54,2908,54.16
102,681,2024-02-13,14,29,3,3,Completa,7,2,Tuesday,1,Cerveza,Bebidas,11.54,2455,34.62
103,821,2024-02-13,43,1,3,5,Pendiente,7,2,Tuesday,1,Leche,Lácteos,12.24,3327,36.72
104,908,2024-02-13,141,11,4,4,Pendiente,7,2,Tuesday,1,Salchicha,Carnicería,11.23,1726,44.92
105,1826,2024-02-13,300,20,1,1,Completa,7,2,Tuesday,1,Lechugas,Frutas y Verduras,4.25,1541,4.25
106,2355,2024-02-13,150,35,2,5,Completa,7,2,Tuesday,1,Arroz,Conservas,4.25,1437,8.5
107,2555,2024-02-13,130,33,3,5,Completa,7,2,Tuesday,1,Papas chips,Galletitas y Snacks,8.54,2837,25.619999999999997
108,2572,2024-02-13,258,26,4,1,Completa,7,2,Tuesday,1,Hamburgesas congeladas,Congelados,9.54,1688,38.16
109,2687,2024-02-13,73,29,4,5,Completa,7,2,Tuesday,1,Cerveza,Bebidas,11.54,2455,46.16
110,2709,2024-02-13,304,12,2,1,Pendiente,7,2,Tuesday,1,Pan francés,Panadería,8.12,1619,16.24
112,1271,2024-02-14,190,27,5,3,Completa,7,2,Wednesday,1,Agua mineral,Bebidas,6.21,4978,31.05
113,1975,2024-02-14,118,4,6,5,Completa,7,2,Wednesday,1,Queso rallado,Lácteos,19.23,2099,115.38
114,2076,2024-02-14,5,1,1,4,Completa,7,2,Wednesday,1,Leche,Lácteos,12.24,3327,12.24
115,2559,2024-02-14,87,15,6,1,Pendiente,7,2,Wednesday,1,Medialunas,Panadería,3.51,4043,21.06
116,2763,2024-02-14,273,21,5,5,Completa,7,2,Wednesday,1,Zanahorias,Frutas y Verduras,3.25,2800,16.25
117,2801,2024-02-14,105,17,5,3,Completa,7,2,Wednesday,1,Manzanas,Frutas y Verduras,6.54,3383,32.7
118,34,2024-02-15,325,35,5,2,Completa,7,2,Thursday,1,Arroz,Conservas,4.25,1437,21.25
119,294,2024-02-15,85,24,3,2,Completa,7,2,Thursday,1,Empanadas,Congelados,13.54,2908,40.62
120,627,2024-02-15,312,24,6,5,Completa,7,2,Thursday,1,Empanadas,Congelados,13.54,2908,81.24
121,696,2024-02-15,76,13,3,1,Completa,7,2,Thursday,1,Pan integral,Panadería,12.56,2228,37.68
122,938,2024-02-15,204,1,1,4,Completa,7,2,Thursday,1,Leche,Lácteos,12.24,3327,12.24
123,1700,2024-02-15,158,33,4,4,Completa,7,2,Thursday,1,Papas chips,Galletitas y Snacks,8.54,2837,34.16
124,1928,2024-02-15,310,35,1,1,Completa,7,2,Thursday,1,Arroz,Conservas,4.25,1437,4.25
125,2214,2024-02-15,187,7,5,5,Completa,7,2,Thursday,1,Chorizo,Carnicería,11.25,4068,56.25
126,2238,2024-02-15,231,12,3,4,Completa,7,2,Thursday,1,Pan francés,Panadería,8.12,1619,24.36
127,2481,2024-02-15,166,4,2,5,Pendiente,7,2,Thursday,1,Queso rallado,Lácteos,19.23,2099,38.46
128,2604,2024-02-15,319,23,1,5,Completa,7,2,Thursday,1,Papas fritas,Congelados,8.23,3731,8.23
130,481,2024-02-16,109,19,3,3,Completa,7,2,Friday,1,Tomates,Frutas y Verduras,6.54,4041,19.62
131,641,2024-02-16,184,17,5,5,Completa,7,2,Friday,1,Manzanas,Frutas y Verduras,6.54,3383,32.7
132,735,2024-02-16,183,20,2,1,Completa,7,2,Friday,1,Lechugas,Frutas y Verduras,4.25,1541,8.5
133,779,2024-02-16,252,14,2,3,Completa,7,2,Friday,1,Facturas,Panadería,12.36,3125,24.72
134,1174,2024-02-16,286,14,1,1,Completa,7,2,Friday,1,Facturas,Panadería,12.36,3125,12.36
135,1253,2024-02-16,50,13,1,2,Completa,7,2,Friday,1,Pan integral,Panadería,12.56,2228,12.56
136,1263,2024-02-16,48,38,5,3,Completa,7,2,Friday,1,Atún enlatado,Conservas,6.21,2182,31.05
137,1479,2024-02-16,211,33,1,1,Completa,7,2,Friday,1,Papas chips,Galletitas y Snacks,8.54,2837,8.54
138,2323,2024-02-16,98,25,3,3,Completa,7,2,Friday,1,Pizza congelada,Congelados,15.45,1640,46.349999999999994
139,2362,2024-02-16,109,36,6,1,Completa,7,2,Friday,1,Lentejas,Conservas,3.25,4578,19.5
140,2771,2024-02-16,39,7,2,3,Completa,7,2,Friday,1,Chorizo,Carnicería,11.25,4068,22.5
141,2937,2024-02-16,124,3,3,2,Completa,7,2,Friday,1,Queso cremoso,Lácteos,17.23,3167,51.69
142,207,2024-02-17,203,20,2,5,Completa,7,2,Saturday,1,Lechugas,Frutas y Verduras,4.25,1541,8.5
143,297,2024-02-17,302,3,4,5,Pendiente,7,2,Saturday,1,Queso cremoso,Lácteos,17.23,3167,68.92
144,386,2024-02-17,250,32,6,5,Pendiente,7,2,Saturday,1,Galletitas de chocolate,Galletitas y Snacks,6.25,5057,37.5
145,572,2024-02-17,95,18,5,1,Completa,7,2,Saturday,1,Bananas,Frutas y Verduras,7.25,4720,36.25
146,812,2024-02-17,280,7,4,3,Completa,7,2,Saturday,1,Chorizo,Carnicería,11.25,4068,45.0
147,1079,2024-02-17,8,31,6,3,Completa,7,2,Saturday,1,Galletitas de agua,Galletitas y Snacks,5.24,2771,31.44
148,1095,2024-02-17,326,2,5,5,Pendiente,7,2,Saturday,1,Yogur,Lácteos,5.21,3358,26.05
149,1842,2024-02-17,224,29,2,1,Completa,7,2,Saturday,1,Cerveza,Bebidas,11.54,2455,23.08
150,1863,2024-02-17,46,26,5,4,Completa,7,2,Saturday,1,Hamburgesas congeladas,Congelados,9.54,1688,47.699999999999996
151,2045,2024-02-17,97,8,3,4,Completa,7,2,Saturday,1,Milanesa,Carnicería,16.21,3140,48.63
152,2375,2024-02-17,82,38,1,3,Completa,7,2,Saturday,1,Atún enlatado,Conservas,6.21,2182,6.21
153,2634,2024-02-17,31,15,6,5,Completa,7,2,Saturday,1,Medialunas,Panadería,3.51,4043,21.06
154,77,2024-02-18,320,27,2,3,Completa,7,2,Sunday,1,Agua mineral,Bebidas,6.21,4978,12.42
155,131,2024-02-18,17,23,5,4,Completa,7,2,Sunday,1,Papas fritas,Congelados,8.23,3731,41.150000000000006
156,166,2024-02-18,25,13,5,5,Completa,7,2,Sunday,1,Pan integral,Panadería,12.56,2228,62.800000000000004
157,223,2024-02-18,221,29,1,5,Completa,7,2,Sunday,1,Cerveza,Bebidas,11.54,2455,11.54
158,236,2024-02-18,44,21,4,5,Pendiente,7,2,Sunday,1,Zanahorias,Frutas y Verduras,3.25,2800,13.0
159,434,2024-02-18,90,23,1,5,Completa,7,2,Sunday,1,Papas fritas,Congelados,8.23,3731,8.23
160,539,2024-02-18,274,14,2,5,Completa,7,2,Sunday,1,Facturas,Panadería,12.36,3125,24.72
161,801,2024-02-18,37,27,3,1,Completa,7,2,Sunday,1,Agua mineral,Bebidas,6.21,4978,18.63
162,1007,2024-02-18,77,11,6,5,Completa,7,2,Sunday,1,Salchicha,Carnicería,11.23,1726,67.38
163,1181,2024-02-18,171,17,4,4,Completa,7,2,Sunday,1,Manzanas,Frutas y Verduras,6.54,3383,26.16
164,1625,2024-02-18,145,38,4,3,Completa,7,2,Sunday,1,Atún enlatado,Conservas,6.21,2182,24.84
165,1983,2024-02-18,63,27,4,5,Completa,7,2,Sunday,1,Agua mineral,Bebidas,6.21,4978,24.84
166,2409,2024-02-18,252,15,4,5,Completa,7,2,Sunday,1,Medialunas,Panadería,3.51,4043,14.04
167,2964,2024-02-18,269,7,2,1,Completa,7,2,Sunday,1,Chorizo,Carnicería,11.25,4068,22.5
168,53,2024-02-19,66,30,2,5,Completa,8,2,Monday,1,Vino tinto,Bebidas,13.54,1363,27.08
169,447,2024-02-19,249,27,5,1,Completa,8,2,Monday,1,Agua mineral,Bebidas,6.21,4978,31.05
170,454,2024-02-19,131,13,5,4,Completa,8,2,Monday,1,Pan integral,Panadería,12.56,2228,62.800000000000004
171,1332,2024-02-19,1,29,4,4,Completa,8,2,Monday,1,Cerveza,Bebidas,11.54,2455,46.16
172,1722,2024-02-19,266,7,3,4,Completa,8,2,Monday,1,Chorizo,Carnicería,11.25,4068,33.75
173,2134,2024-02-19,116,29,5,2,Completa,8,2,Monday,1,Cerveza,Bebidas,11.54,2455,57.699999999999996
174,2310,2024-02-19,139,11,2,5,Completa,8,2,Monday,1,Salchicha,Carnicería,11.23,1726,22.46
175,2926,2024-02-19,210,37,2,1,Completa,8,2,Monday,1,Garbanzos,Conservas,3.65,1506,7.3
176,2969,2024-02-19,128,9,1,5,Completa,8,2,Monday,1,Pollo,Carnicería,18.56,4051,18.56
177,11,2024-02-20,237,25,6,1,Completa,8,2,Tuesday,1,Pizza congelada,Congelados,15.45,1640,92.69999999999999
178,110,2024-02-20,31,11,2,3,Completa,8,2,Tuesday,1,Salchicha,Carnicería,11.23,1726,22.46
179,979,2024-02-20,30,29,5,1,Completa,8,2,Tuesday,1,Cerveza,Bebidas,11.54,2455,57.699999999999996
180,1633,2024-02-20,27,11,5,4,Completa,8,2,Tuesday,1,Salchicha,Carnicería,11.23,1726,56.150000000000006
181,2176,2024-02-20,48,12,5,1,Completa,8,2,Tuesday,1,Pan francés,Panadería,8.12,1619,40.599999999999994
182,2227,2024-02-20,239,8,4,5,Completa,8,2,Tuesday,1,Milanesa,Carnicería,16.21,3140,64.84
183,2325,2024-02-20,13,2,4,4,Completa,8,2,Tuesday,1,Yogur,Lácteos,5.21,3358,20.84
184,2427,2024-02-20,57,35,2,1,Completa,8,2,Tuesday,1,Arroz,Conservas,4.25,1437,8.5
185,2929,2024-02-20,28,11,1,3,Completa,8,2,Tuesday,1,Salchicha,Carnicería,11.23,1726,11.23
186,168,2024-02-21,186,2,1,4,Completa,8,2,Wednesday,1,Yogur,Lácteos,5.21,3358,5.21
187,691,2024-02-21,175,14,1,1,Completa,8,2,Wednesday,1,Facturas,Panadería,12.36,3125,12.36
188,851,2024-02-21,13,14,2,4,Completa,8,2,Wednesday,1,Facturas,Panadería,12.36,3125,24.72
189,986,2024-02-21,273,7,4,1,Completa,8,2,Wednesday,1,Chorizo,Carnicería,11.25,4068,45.0
190,1041,2024-02-21,312,9,3,3,Completa,8,2,Wednesday,1,Pollo,Carnicería,18.56,4051,55.67999999999999
191,2560,2024-02-21,249,33,3,5,Completa,8,2,Wednesday,1,Papas chips,Galletitas y Snacks,8.54,2837,25.619999999999997
192,2751,2024-02-21,19,2,5,4,Completa,8,2,Wednesday,1,Yogur,Lácteos,5.21,3358,26.05
193,2905,2024-02-21,226,5,4,4,Completa,8,2,Wednesday,1,Manteca,Lácteos,5.65,4929,22.6
195,338,2024-02-22,103,12,2,3,Completa,8,2,Thursday,1,Pan francés,Panadería,8.12,1619,16.24
196,407,2024-02-22,32,5,3,3,Completa,8,2,Thursday,1,Manteca,Lácteos,5.65,4929,16.950000000000003
197,1184,2024-02-22,106,38,6,5,Completa,8,2,Thursday,1,Atún enlatado,Conservas,6.21,2182,37.26
198,1200,2024-02-22,143,32,1,5,Pendiente,8,2,Thursday,1,Galletitas de chocolate,Galletitas y Snacks,6.25,5057,6.25
199,1792,2024-02-22,81,9,4,1,Completa,8,2,Thursday,1,Pollo,Carnicería,18.56,4051,74.24
200,2027,2024-02-22,184,32,4,1,Completa,8,2,Thursday,1,Galletitas de chocolate,Galletitas y Snacks,6.25,5057,25.0
201,2206,2024-02-22,236,23,1,1,Completa,8,2,Thursday,1,Papas fritas,Congelados,8.23,3731,8.23
202,2235,2024-02-22,20,28,6,5,Completa,8,2,Thursday,1,Jugos de frutas,Bebidas,9.45,3637,56.699999999999996
203,2449,2024-02-22,262,1,2,5,Pendiente,8,2,Thursday,1,Leche,Lácteos,12.24,3327,24.48
204,2527,2024-02-22,55,14,3,5,Completa,8,2,Thursday,1,Facturas,Panadería,12.36,3125,37.08
205,85,2024-02-23,91,4,5,2,Completa,8,2,Friday,1,Queso rallado,Lácteos,19.23,2099,96.15
206,784,2024-02-23,279,10,4,2,Completa,8,2,Friday,1,Costilla de cerdo,Carnicería,14.25,2429,57.0
207,1586,2024-02-23,166,38,2,4,Pendiente,8,2,Friday,1,Atún enlatado,Conservas,6.21,2182,12.42
208,2869,2024-02-23,247,4,2,4,Completa,8,2,Friday,1,Queso rallado,Lácteos,19.23,2099,38.46
209,2982,2024-02-23,229,34,2,4,Completa,8,2,Friday,1,Maníes,Galletitas y Snacks,5.45,4769,10.9
210,88,2024-02-24,176,37,1,5,Completa,8,2,Saturday,1,Garbanzos,Conservas,3.65,1506,3.65
211,267,2024-02-24,273,13,1,4,Pendiente,8,2,Saturday,1,Pan integral,Panadería,12.56,2228,12.56
212,342,2024-02-24,109,7,3,3,Completa,8,2,Saturday,1,Chorizo,Carnicería,11.25,4068,33.75
213,783,2024-02-24,124,30,1,2,Completa,8,2,Saturday,1,Vino tinto,Bebidas,13.54,1363,13.54
214,948,2024-02-24,218,11,1,4,Completa,8,2,Saturday,1,Salchicha,Carnicería,11.23,1726,11.23
215,1416,2024-02-24,31,38,2,5,Completa,8,2,Saturday,1,Atún enlatado,Conservas,6.21,2182,12.42
216,1674,2024-02-24,75,23,4,5,Pendiente,8,2,Saturday,1,Papas fritas,Congelados,8.23,3731,32.92
217,1852,2024-02-24,230,1,4,5,Pendiente,8,2,Saturday,1,Leche,Lácteos,12.24,3327,48.96
218,2439,2024-02-24,142,7,3,5,Completa,8,2,Saturday,1,Chorizo,Carnicería,11.25,4068,33.75
219,2835,2024-02-24,57,3,5,5,Pendiente,8,2,Saturday,1,Queso cremoso,Lácteos,17.23,3167,86.15
220,134,2024-02-25,308,10,1,4,Completa,8,2,Sunday,1,Costilla de cerdo,Carnicería,14.25,2429,14.25
221,1999,2024-02-25,209,33,2,5,Completa,8,2,Sunday,1,Papas chips,Galletitas y Snacks,8.54,2837,17.08
222,2155,2024-02-25,162,17,1,3,Pendiente,8,2,Sunday,1,Manzanas,Frutas y Verduras,6.54,3383,6.54
223,2309,2024-02-25,82,1,4,4,Pendiente,8,2,Sunday,1,Leche,Lácteos,12.24,3327,48.96
224,2331,2024-02-25,228,1,2,3,Completa,8,2,Sunday,1,Leche,Lácteos,12.24,3327,24.48
225,2729,2024-02-25,166,9,4,3,Completa,8,2,Sunday,1,Pollo,Carnicería,18.56,4051,74.24
226,39,2024-02-26,183,26,2,4,Completa,9,2,Monday,1,Hamburgesas congeladas,Congelados,9.54,1688,19.08
227,577,2024-02-26,169,3,1,3,Completa,9,2,Monday,1,Queso cremoso,Lácteos,17.23,3167,17.23
228,1287,2024-02-26,22,25,6,1,Completa,9,2,Monday,1,Pizza congelada,Congelados,15.45,1640,92.69999999999999
229,1830,2024-02-26,291,32,4,4,Completa,9,2,Monday,1,Galletitas de chocolate,Galletitas y Snacks,6.25,5057,25.0
230,2067,2024-02-26,73,23,1,4,Completa,9,2,Monday,1,Papas fritas,Congelados,8.23,3731,8.23
231,2978,2024-02-26,108,3,3,1,Completa,9,2,Monday,1,Queso cremoso,Lácteos,17.23,3167,51.69
232,713,2024-02-27,64,14,2,4,Completa,9,2,Tuesday,1,Facturas,Panadería,12.36,3125,24.72
233,1841,2024-02-27,37,38,6,5,Completa,9,2,Tuesday,1,Atún enlatado,Conservas,6.21,2182,37.26
234,2248,2024-02-27,16,22,1,4,Pendiente,9,2,Tuesday,1,Cebolla,Frutas y Verduras,4.21,3545,4.21
