,Fecha,Cantidad,Unidades_Acumuladas
124,2024-06-03,44,3883
125,2024-06-04,29,3912
126,2024-06-05,42,3954
127,2024-06-06,31,3985
128,2024-06-07,35,4020
129,2024-06-08,45,4065
130,2024-06-09,37,4102
131,2024-06-10,3,4105
132,2024-06-11,26,4131
133,2024-06-12,58,4189
134,2024-06-13,35,4224
135,2024-06-14,30,4254
136,2024-06-15,52,4306
137,2024-06-16,46,4352
138,2024-06-17,36,4388
139,2024-06-18,27,4415
140,2024-06-19,23,4438
141,2024-06-20,28,4466
142,2024-06-21,29,4495
143,2024-06-22,17,4512
144,2024-06-23,33,4545
145,2024-06-24,27,4572
146,2024-06-25,47,4619
147,2024-06-26,16,4635
148,2024-06-27,26,4661
149,2024-06-28,41,4702
150,2024-06-29,46,4748
151,2024-06-30,43,4791
152,2024-07-01,27,4818
153,2024-07-02,52,4870
154,2024-07-03,23,4893
155,2024-07-04,33,4926
156,2024-07-05,32,4958
157,2024-07-06,49,5007
158,2024-07-07,48,5055
159,2024-07-08,24,5079
160,2024-07-09,63,5142
161,2024-07-10,13,5155
162,2024-07-11,31,5186
163,2024-07-12,36,5222
164,2024-07-13,22,5244
165,2024-07-14,27,5271
166,2024-07-15,11,5282
167,2024-07-16,25,5307
168,2024-07-17,42,5349
169,2024-07-18,29,5378
170,2024-07-19,41,5419
171,2024-07-20,27,5446
172,2024-07-21,22,5468
173,2024-07-22,38,5506
174,2024-07-23,36,5542
175,2024-07-24,23,5565
176,2024-07-25,29,5594
177,2024-07-26,64,5658
178,2024-07-27,29,5687
179,2024-07-28,9,5696
180,2024-07-29,20,5716
181,2024-07-30,53,5769
182,2024-07-31,23,5792
183,2024-08-01,29,5821
184,2024-08-02,52,5873
185,2024-08-03,19,5892
186,2024-08-04,15,5907
187,2024-08-05,55,5962
188,2024-08-06,25,5987
189,2024-08-07,50,6037
190,2024-08-08,20,6057
191,2024-08-09,17,6074
192,2024-08-10,16,6090
193,2024-08-11,34,6124
194,2024-08-12,22,6146
195,2024-08-13,30,6176
196,2024-08-14,52,6228
197,2024-08-15,26,6254
198,2024-08-16,34,6288
199,2024-08-17,28,6316
200,2024-08-18,37,6353
201,2024-08-19,20,6373
202,2024-08-20,29,6402
203,2024-08-21,31,6433
204,2024-08-22,37,6470
205,2024-08-23,26,6496
206,2024-08-24,21,6517
207,2024-08-25,42,6559
208,2024-08-26,34,6593
209,2024-08-27,17,6610
210,2024-08-28,6,6616
211,2024-08-29,43,6659
212,2024-08-30,12,6671
213,2024-08-31,30,6701
214,2024-09-01,43,6744
215,2024-09-02,40,6784
216,2024-09-03,19,6803
217,2024-09-04,27,6830
218,2024-09-05,18,6848
219,2024-09-06,25,6873
220,2024-09-07,36,6909
221,2024-09-08,36,6945
222,2024-09-09,11,6956
223,2024-09-10,6,6962
224,2024-09-11,23,6985
225,2024-09-12,17,7002
226,2024-09-13,11,7013
227,2024-09-14,13,7026
228,2024-09-15,22,7048
229,2024-09-16,33,7081
230,2024-09-17,39,7120
231,2024-09-18,37,7157
232,2024-09-19,21,7178
233,2024-09-20,26,7204
234,2024-09-21,50,7254
235,2024-09-22,32,7286
236,2024-09-23,28,7314
237,2024-09-24,24,7338
238,2024-09-25,40,7378
239,2024-09-26,30,7408
240,2024-09-27,54,7462
241,2024-09-28,46,7508
242,2024-09-29,60,7568
243,2024-09-30,49,7617
244,2024-10-01,16,7633
245,2024-10-02,25,7658
246,2024-10-03,71,7729
247,2024-10-04,29,7758
248,2024-10-05,41,7799
249,2024-10-06,27,7826
250,2024-10-07,34,7860
251,2024-10-08,9,7869
252,2024-10-09,27,7896
253,2024-10-10,36,7932
254,2024-10-11,30,7962
255,2024-10-12,22,7984
256,2024-10-13,30,8014
257,2024-10-14,35,8049
258,2024-10-15,35,8084
259,2024-10-16,41,8125
260,2024-10-17,34,8159
261,2024-10-18,24,8183
262,2024-10-19,35,8218
263,2024-10-20,55,8273
264,2024-10-21,17,8290
265,2024-10-22,30,8320
266,2024-10-23,31,8351
267,2024-10-24,16,8367
268,2024-10-25,12,8379
269,2024-10-26,26,8405
270,2024-10-27,35,8440
271,2024-10-28,54,8494
272,2024-10-29,49,8543
273,2024-10-30,27,8570
274,2024-10-31,40,8610
275,2024-11-01,29,8639
276,2024-11-02,25,8664
277,2024-11-03,41,8705
278,2024-11-04,32,8737
279,2024-11-05,40,8777
280,2024-11-06,39,8816
281,2024-11-07,30,8846
282,2024-11-08,38,8884
283,2024-11-09,45,8929
284,2024-11-10,31,8960
285,2024-11-11,21,8981
286,2024-11-12,45,9026
287,2024-11-13,50,9076
288,2024-11-14,22,9098
289,2024-11-15,27,9125
290,2024-11-16,12,9137
291,2024-11-17,21,9158
292,2024-11-18,39,9197
293,2024-11-19,22,9219
294,2024-11-20,18,9237
295,2024-11-21,45,9282
296,2024-11-22,21,9303
297,2024-11-23,20,9323
298,2024-11-24,29,9352
299,2024-11-25,41,9393
300,2024-11-26,35,9428
301,2024-11-27,16,9444
302,2024-11-28,35,9479
303,2024-11-29,33,9512
304,2024-11-30,24,9536
305,2024-12-01,47,9583
306,2024-12-02,32,9615
307,2024-12-03,23,9638
308,2024-12-04,31,9669
309,2024-12-05,26,9695
310,2024-12-06,20,9715
311,2024-12-07,27,9742
312,2024-12-08,23,9765
313,2024-12-09,33,9798
314,2024-12-10,23,9821
315,2024-12-11,29,9850
316,2024-12-12,22,9872
317,2024-12-13,34,9906
318,2024-12-14,15,9921
319,2024-12-15,21,9942
320,2024-12-16,55,9997
321,2024-12-17,13,10010
322,2024-12-18,36,10046
323,2024-12-19,45,10091
324,2024-12-20,29,10120
325,2024-12-21,45,10165
326,2024-12-22,16,10181
327,2024-12-23,29,10210
328,2024-12-24,52,10262
329,2024-12-25,54,10316
330,2024-12-26,23,10339
331,2024-12-27,5,10344
332,2024-12-28,35,10379
333,2024-12-29,35,10414
334,2024-12-30,27,10441
